"id","nome","disabile","linea"
0,Ors vezer tere,si,"2R"
1,Pillango utca,no,"2R"
2,Puskas Ferenc Stadion,no,"2R"
3,Keleti Palyaudvar,si,"2R-4V"
4,Blaha Lujza Ter,si,"2R"
5,Il. Janos Pal Papa Tar,no,"4V"
6,Rakoczi Ter,no,"4V"
7,Kalvin Ter,si,"4V-3B"
8,Fovam Ter,no,"4V"
9,Szent Gellert Ter - Muegyetem,no,"4V"
10,Moricz Zsigmond Korter,no,"4V"
11,Ujbuda-kozport,no,"4V"
12,Bikas Park,no,"4V"
13,Kelenfood Vasutallomas,no,"4V"
14,Kobanya-Kispes,no,"3B"
15,Hatar Ut,no,"3B"
16,Pottyos Utca,no,"3B"
17,Ecseri Ut,no,"3B"
18,Nepliget,si,"3B"
19,Nagyvarad Ter,no,"3B"
20,Semmelweis Klinikak,no,"3B"
21,Corvin-negyed,no,"3B"
22,Ferenciek Tere,no,"3B"
23,Deak Ferenc Ter,si,"3B-1G-2R"
24,Vorosmarty Ter,no,"1G"
25,Bajcsy-Zsilinszky ut,no,"3B-1G"
26,Opera,no,"1G"
27,Oktogon,no,"1G"
28,Vorosmarty Utca,no,"1G"
29,Kodaly Korond,no,"1G"
30,Bajza Utca,no,"1G"
31,Hosok Tere,no,"1G"
32,Szechenyi-furdo,no,"1G"
33,Mexikoi Ut,no,"1G"
34,Ujpest-Kozpont,si,"3B"
35,Ujpest-Varoskapu,no,"3B"
36,Gyongyosi Utca,no,"3B"
37,Forgach Utca,no,"3B"
38,Goncz Arpad Vkp,no,"3B"
39,Dozsa Gyorgy Ut,no,"3B"
40,Lehel Ter,no,"3B"
41,Nyugati Palyaudva,si,"3B"
42,Arany Janos Utca,no,"3B"
43,Kossuth Lajos Ter,si,"2R"
44,Battyhany Ter,si,"2R"
45,Szell Kalman Ter,no,"2R"
46,Deli Palyaudvar,si,"2R"
47,Astoria,no,"2R"
