"id","nome","disabile","linea"
0,Chesham,si,M
1,Amersham,si,M
2,Chalfont&Latimer,si,M
3,Chorleywood,si,M
4,Rickmansworth,no,M
5,Croxley,no,M
6,Watford,no,M
7,Moor Park,no,M
8,Northwood,no,M
9,Northwood Hills,no,M
10,Pinner,si,M
11,North Harrow,no,M
12,Harrow on the Hill,si,M
13,West Harrow,no,M
14,Eastcote,no,M-P
15,Ruislip Manor,no,M-P
16,Ruislip,no,M-P
17,Ickenham,si,M-P
18,Hillingdon,si,M-P
19,Uxbridge,si,M-P
20,Kenton,no,B-O
21,Harrow&Wealdstone,si,B-O
22,Headstone Lane,no,O
23,Hatch End,no,O
24,Carpenders Park,si,O
25,Bushey,no,O
26,Watford High Street,no,O
27,Watford Junction,si,O
28,Preston Road,no,M
29,Wembley Park,si,M-J
30,Finchley Road,no,M-J
31,Baker Street,no,H-C-M
32,Great Portland Street,no,H-C-M
33,Euston Square,no,H-C-M
34,Euston,si,N-LO-V
35,King's Cross St Pancras International,si,H-C-M-N-P
36,Farringdon,si,H-C-M-E-TH
37,Barbican,si,H-C-M
38,Moorgate,si,H-C-M-N-CE-E
39,Liverpool Street,si,LO-H-C-M-N-CE-E
40,Bethnal Green,si,LO
41,Cambridge Heath,si,LO
42,London Fields,no,LO
43,Hackney Downs,no,LO
44,Hackney Central,no,LO
45,Homerton,no,LO
46,Hackney Wick,si,LO
47,Rectory Road,si,LO
48,Stoke Newington,si,LO
49,Stamford Hill,si,LO
50,Clapton,si,LO
51,St James Street,si,LO
52,Seven Sisters,si,V-LO
53,Bruce Grove,si,LO
54,White Hart Lane,si,LO
55,Silver Street,si,LO
56,Edmonton Green,si,LO
57,Bush Hill Park,si,LO
58,Enfield Town,si,LO
59,Southbury,si,LO
60,Turkey Street,no,LO
61,Theobalds Grove,no,LO
62,Cheshunt,si,LO
63,Chingford,si,LO
64,Highams Park,si,LO
65,Wood Street,si,LO
66,South Tottenham,si,V-LO
67,Tottenham Hale,si,V
68,Blackhorse Road,si,V-LO
69,Walthamstow Central,si,V-LO
70,Walthamstow Queen's Road,si,V-LO
71,Leyton Midland Road,si,LO
72,Leytonstone High Road,si,LO
73,Wanstead Park,"",""
74,Forest Gate,"",""
75,Manor Park,"",""
76,Ilford,"",""
77,Seven Kings,"",""
78,Goodmayes,"",""
79,Chadwell Heath,"",""
80,Romford,"",""
81,Gidea Park,"",""
82,Harold Wood,"",""
83,Brentwood,"",""
84,Shenfield,"",""
85,Emerson Park,"",""
86,Upminster,"",""
87,Upminster Bridge,"",""
88,Hornchurch,"",""
89,Elm Park,"",""
90,Dagenham East,"",""
91,Dagenham Heathway,"",""
92,Becontree,"",""
93,Upney,"",""
94,Barking Riverside,"",""
95,Barking,"",""
96,East Ham,"",""
97,Upton Park,"",""
98,Plaistow,"",""
99,Woodgrange Park,"",""
100,West Ham,"",""
101,Abbey Road,"",""
102,Stratford High Street,"",""
103,Stratford,"",""
104,Leyton,"",""
105,Leytonstone,"",""
106,Snaresbrook,"",""
107,South Woodford,"",""
108,Woodford,"",""
109,Buckhurst Hill,"",""
110,Loughton,"",""
111,Debden,"",""
112,Theydon Bols,"",""
113,Epping,"",""
114,Roding Valley,"",""
115,Chigwell,"",""
116,Grange Hill,"",""
117,Hainault,"",""
118,Fairlop,"",""
119,Barkingside,"",""
120,Newbury Park,"",""
121,Gants Hill,"",""
122,Redbridge,"",""
123,Wanstead,"",""
124,Stratford International,"",""
125,Dalston Kingsland,"",""
126,Canonbury,"",""
127,Highbury/Islington,"",""
128,Caledonian Road,"",""
129,Holloway Road,"",""
130,Arsenal,"",""
131,Caledonian Road/Barnsbury,"",""
132,Finsbury Park,"",""
133,Manor House,"",""
134,Turnpike Lane,"",""
135,Wood Green,"",""
136,Bounds Green,"",""
137,Arnos Grove,"",""
138,Southgate,"",""
139,Oakwood,"",""
140,Cockfosters,"",""
141,Harringay Green Lanes,"",""
142,Crouch Hill,"",""
143,New Southgate,"",""
144,Oakleigh Park,"",""
145,New Barnet,"",""
146,Towards Welwyn Garden City,"",""
147,High Barnet,"",""
148,Totteridge/Whetstone,"",""
149,Woodside Park,"",""
150,West Finchley,"",""
151,Mill Hill East,"",""
152,Finchley Central,"",""
153,East Finchley,"",""
154,Highgate,"",""
155,Archway,"",""
156,Upper Holloway,"",""
157,Tufnell Park,"",""
158,Kentish Town,"",""
159,City Thameslink,"",""
160,St Paul's,"",""
161,Monument,"",""
162,Cannon Street,"",""
163,Blackfriars,"",""
164,London Bridge,"",""
165,Bermondsey,"",""
166,Canada Water,"",""
167,Rotherhithe,"",""
168,Wapping,"",""
169,Shadwell,"",""
170,Shadwell/Limehouse,"",""
171,Limehouse,"",""
172,Whitechapel,"",""
173,Aldgate East,"",""
174,Tower Hill,"",""
175,Tower Gateway,"",""
176,Aldgate,"",""
177,Bethnal Green,"",""
178,Mile End,"",""
179,Bow Road,"",""
180,Bow Church,"",""
181,Pudding Mill Lane,"",""
182,Maryland,"",""
183,Bromley by Bow,"",""
184,Devons Road,"",""
185,Langdon Park,"",""
186,All Saints,"",""
187,Poplar,"",""
188,Blackwall,"",""
189,East India,"",""
190,Canning Town,"",""
191,Star Lane,"",""
192,Westferry,"",""
193,Royal Victoria,"",""
194,Custom House,"",""
195,Prince Regent,"",""
196,Royal Albert,"",""
197,Beckton Park,"",""
198,Cyprus,"",""
199,Gallions Reach,"",""
200,Beckton,"",""
201,West Silvertown,"",""
202,Pontoon Dock,"",""
203,London City Airport,"",""
204,King George V,"",""
205,Woolwich,"",""
206,Abbey Wood,"",""
207,Plumstead,"",""
208,Woolwich Arsenal,"",""
209,Charlton,"",""
210,Westcombe Park,"",""
211,Maze Hill,"",""
212,Cutty Sark,"",""
213,Island Gardens,"",""
214,Mudchute,"",""
215,Crossharbour,"",""
216,South Quay,"",""
217,Heron Quays,"",""
218,Canary Wharf,"",""
219,Canary Wharf South,"",""
220,Canary Wharf North,"",""
221,West India Quay,"",""
222,Greenwich,"",""
223,Deptford Bridge,"",""
224,Elverson Road,"",""
225,Lewisham,"",""
226,Crofton Park,"",""
227,Catford,"",""
228,Bellingham,"",""
229,Beckenham Hill,"",""
230,Shortlands,"",""
231,Bromley South,"",""
232,Bickley,"",""
233,St Mary Cray,"",""
234,Petts Wood,"",""
235,Orpington,"",""
236,Swanley,"",""
237,Towards Sevenoaks,"",""
238,Slade Green,"",""
239,Dartford,"",""
240,Towards Gravesend,"",""
241,Beckenham Junction,"",""
242,Beckenham Road,"",""
243,Avenue Road,"",""
244,Birkbeck,"",""
245,Harrington Road,"",""
246,Elmers End,"",""
247,Arena,"",""
248,Woodside,"",""
249,Blackhorse Lane,"",""
250,Addiscombe,"",""
251,Lloyd Park,"",""
252,Coombe Lane,"",""
253,Gravel Hill,"",""
254,Addington Village,"",""
255,Fieldway,"",""
