"id","nome","disabile","linea"
0,Gessate,si,M2
1,C.Na Antonietta,si,M2
2,Gorgonzola,si,M2
3,Villa Pompea,no,M2
4,Bussero,si,M2
5,Cassina De' Pecchi,si,M2
6,Villa Fiorita,si,M2
7,Cernusco sul Naviglio,si,M2
8,Cascina Burrona,no,M2
9,Vimodrone,si,M2
10,C.Na Gobba,si,M2
11,Cologno Sud,no,M2
12,Cologno Centro,no,M2
13,Cologno Nord,si,M2
14,Crescenzago,si,M2
15,Cimiano,si,M2
16,Udine,si,M2
17,Lambrate FS,si,M2
18,Piola,si,M2
19,Loreto,si,M2-M1
20,Pasteur,si,M1
21,Rovereto,si,M1
22,Turro,si,M1
23,Gorla,si,M1
24,Precotto,si,M1
25,Villa San Giovanni,si,M1
26,Sesto Marelli,si,M1
27,Sesto Rondo,no,M1
28,Sesto 1 Maggio FS,si,M1
29,Caiazzo,no,M2
30,Centrale FS,si,M2-M3
31,Gioia,si,M2
32,Garibaldi FS,si,M2-M5
33,Moscova,no,M2
34,Lanza,no,M2
35,Cadorna FN,si,M2-M1
36,Sant'Ambrogio,si,M2-M4
37,Sant'Agostino,si,M2
38,Porta Genova FS,si,M2
39,Romolo,si,M2
40,Famagosta,si,M2
41,Assago Milanofiori Nord,si,M2
42,Piazza Abbiategrasso,si,M2
43,Assago Milanofiori Forum,si,M2
44,Lima,si,M1
45,Porta Venezia,si,M1
46,Palestro,si,M1
47,San Babila,si,M1-M4
48,Duomo,si,M1-M3
49,Cordusio,si,M1
50,Cairoli,si,M1
51,Conciliazione,no,M1
52,Pagano,si,M1
53,Buonarroti,no,M1
54,Amendola,si,M1
55,Lotto,si,M1-M5
56,QT8,no,M1
57,Lampugnano,si,M1
58,Uruguay,no,M1
59,Bonola,si,M1
60,San Leonardo,no,M1
61,Molino Dorino,si,M1
62,Pero,si,M1
63,Rho Fiera,si,M1
64,Wagner,no,M1
65,De Angeli,no,M1
66,Gambara,si,M1
67,Bande Nere,si,M1
68,Primaticcio,no,M1
69,Inganni,si,M1
70,Bisceglie,si,M1
71,Comasina,si,M3
72,Affori FN,si,M3
73,Affori Centro,si,M3
74,Dergano,si,M3
75,Maciachini,si,M3
76,Zara,si,M3-M5
77,Sondrio,si,M3
78,Repubblica,si,M3
79,Turati,si,M3
80,Montenapoleone,si,M3
81,Missori,si,M3-M4
82,Crocetta,si,M3
83,Porta Romana,si,M3
84,Lodi T.I.B.B.,si,M3
85,Brenta,si,M3
86,Corvetto,si,M3
87,Porto di Mare,si,M3
88,Rogoredo FS,si,M3
89,San Donato,si,M3
90,Santa Sofia,si,M4
91,Vetra,si,M4
92,De Amicis,si,M4
93,Coni Zugna,si,M4
94,California,si,M4
95,Washington-Bolivar,si,M4
96,Tolstoj,si,M4
97,Frattini,si,M4
98,Gelsomini,si,M4
99,Segneri,si,M4
100,San Cristoforo,si,M4
101,Bignami Parco Nord,si,M5
102,Ponale,si,M5
103,Bicocca,si,M5
104,Ca' Granda,si,M5
105,Istria,si,M5
106,Marche,si,M5
107,Isola,si,M5
108,Monumentale,si,M5
109,Cenisio,si,M5
110,Gerusalemme,si,M5
111,Domodossola FN,si,M5
112,Tre Torri,si,M5
113,Portello,si,M5
114,Segesta,si,M5
115,San Siro Ippodromo,si,M5
116,San Siro Stadio,si,M5
117,Tricolore,si,M4
118,Dateo,si,M4
119,Susa,si,M4
120,Argonne,si,M4
121,Forlanini FS,si,M4
122,Repetti,si,M4
123,Linate Aeroporto,si,M4
