"id","nome","disabile","linea"
0,Pozzuoli Solfatara,si,"2"
1,Bagnoli-Agnano Terme,si,"2"
2,Cavalleggeri Aosta,si,"2"
3,Campi Flegrei,si,"2-6"
4,Mostra,si,"6"
5,P.Leopardi,si,"2"
6,Augusto,si,"6"
7,Lala,si,"6"
8,Mergellina,si,"6-2"
9,Arco Mirelli,si,"6"
10,San Pasquale,si,"6"
11,Chiaia,si,"6"
12,P.Amedeo,si,"2"
13,Montesanto,si,"2"
14,Museo-Piazza Cavour,si,"2-1"
15,Dante,si,"1"
16,Toledo,si,"1"
17,Municipio,si,"1-6"
18,Università,si,"1"
19,Duomo,si,"1"
20,Garibaldi,si,"2-1"
21,Gianturco,no,"2"
22,S.Giovanni-Barra,si,"2"
23,Materdei,si,"1"
24,Salvator Rosa,si,"1"
25,Quattro Giornate,si,"1"
26,Vanvitelli,no,"1"
27,Medaglie D'Oro,si,"1"
28,Montedonzelli,no,"1"
29,Rione Alto,si,"1"
30,Policlinico,si,"1"
31,Colli Aminei,no,"1"
32,Frullone,si,"1"
33,Chiaiano,si,"1"
34,Piscinola,si,"11-1"
35,Mugnano,si,"11"
36,Giugliano,si,"11"
37,Aversa Ippodromo,si,"11"
38,Aversa Centro,si,"11"
